"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"14956",-8.48993135,51.90861957,"4c07d11e-2575-851d-e053-ca3ca8c0ca7f",36750.7301520109,"Cork City","048016003","Churchfield"
"14957",-8.4842324,51.905353,"4c07d11e-2576-851d-e053-ca3ca8c0ca7f",17317.9130809456,"Cork City","048038003","Gurranebraher E"
"14958",-8.46993045,51.91102934,"4c07d11e-252d-851d-e053-ca3ca8c0ca7f",25385.727279868,"Cork City","048011001","Blackpool A"
"14959",-8.58555936,51.88629526,"4c07d11e-2551-851d-e053-ca3ca8c0ca7f",41847.7502060235,"Cork County","047016063","Ballincollig"
"14960",-8.58305891,51.88982057,"4c07d11e-2552-851d-e053-ca3ca8c0ca7f",50999.4722980112,"Cork County","047016041","Ballincollig"
"14961",-8.57263053,51.88405234,"4c07d11e-2553-851d-e053-ca3ca8c0ca7f",41703.7489731312,"Cork County","047016046","Ballincollig"
"14962",-8.57483287,51.88758981,"4c07d11e-2554-851d-e053-ca3ca8c0ca7f",30780.7208451033,"Cork County","047016018","Ballincollig"
"14963",-8.48429716,51.89597026,"4c07d11e-24f6-851d-e053-ca3ca8c0ca7f",42399.5620547533,"Cork City","048028010","Gillabbey A"
"14964",-8.65883621,52.62999734,"4c07d11e-2e85-851d-e053-ca3ca8c0ca7f",47586.7040195465,"Limerick City and County","127018030","Ballycummin"
"14965",-8.46622718,51.91965629,"4c07d11e-2ec8-851d-e053-ca3ca8c0ca7f",48577.0965302885,"Cork City","048062011","The Glen B"
"14966",-8.46517579,51.92217051,"4c07d11e-2ec9-851d-e053-ca3ca8c0ca7f",34531.7123250663,"Cork County","047298006","St. Mary's (Part Rural)"
"14967",-8.46545462,51.92109953,"4c07d11e-2eca-851d-e053-ca3ca8c0ca7f",29986.2324460745,"Cork County","047298007","St. Mary's (Part Rural)"
"14968",-8.45878455,51.91830908,"4c07d11e-2ed7-851d-e053-ca3ca8c0ca7f",39969.4216593392,"Cork City","048062009","The Glen B"
"14969",-8.46074845,51.91992974,"4c07d11e-2ed8-851d-e053-ca3ca8c0ca7f",34418.4889331684,"Cork City","048062003","The Glen B"
"14970",-8.46213717,51.92424785,"4c07d11e-2ed9-851d-e053-ca3ca8c0ca7f",54173.4469506219,"Cork County","047298013","St. Mary's (Part Rural)"
"14971",-9.11910878,53.27367973,"4c07d11e-2e7f-851d-e053-ca3ca8c0ca7f",26219.1545435786,"Galway City","068003041","Bearna"
"14972",-9.11079331,53.27541948,"4c07d11e-2e80-851d-e053-ca3ca8c0ca7f",67669.773978279,"Galway City","068003053","Bearna"
